,Name,Age,Embarked,Position,Crew_Type
21,"Bevis, Mr. Joseph Henry",22,Southampton,Trimmer,Engineering
22,"Biggs, Mr. Edward Charles",21,Southampton,Fireman/Stoker,Engineering
23,"Billow, Mr. J.",20,Southampton,Trimmer,Engineering
24,"Binstead, Mr. Walter",19,Southampton,Trimmer,Engineering
25,"Black, Mr. Alexander",28,Southampton,Fireman/Stoker,Engineering
26,"Black, Mr. D.",41,Southampton,Fireman/Stoker,Engineering
27,"Blackman, Mr. H.",24,Southampton,Fireman/Stoker,Engineering
28,"Blake, Mr. Percival Albert",22,Southampton,Trimmer,Engineering
29,"Blake, Mr. Seaton",?,Southampton,Mess Steward,Engineering
30,"Blake, Mr. Thomas",36,Southampton,Fireman/Stoker,Engineering
31,"Blaney, Mr. James",29,Southampton,Fireman/Stoker,Engineering
32,"Blann, Mr. Eustace Horatius",21,Southampton,Fireman/Stoker,Engineering
33,"Bott, Mr. W.",44,Southampton,Greaser,Engineering
34,"Bradley, Mr. Patrick Joseph",39,Southampton,Fireman/Stoker,Engineering
35,"Brewer, Mr. Henry ""Harry""",30,Southampton,Trimmer,Engineering
36,"Briant, Mr. Albert",34,Southampton,Greaser,Engineering
37,"Brooks, Mr. J.",25,Southampton,Trimmer,Engineering
38,"Brown, Mr. John",25,Southampton,Fireman/Stoker,Engineering
39,"Brown, Mr. Joseph James",25,Southampton,Fireman/Stoker,Engineering
40,"Burroughs, Mr. Arthur",35,Southampton,Fireman/Stoker,Engineering
41,"Burton, Mr. Edward John",32,Southampton,Fireman/Stoker,Engineering
42,"Butt, Mr. William John",30,Southampton,Fireman/Stoker,Engineering
43,"Calderwood, Mr. Hugh",30,Belfast,Trimmer,Engineering
44,"Canner, Mr. J.",40,Southampton,Fireman/Stoker,Engineering
45,"Carr, Mr. Richard Stephen",37,Southampton,Trimmer,Engineering
46,"Carter, Mr. James",46,Southampton,Fireman/Stoker,Engineering
47,"Casey, Mr. T.",28,Southampton,Trimmer,Engineering
48,"Castleman, Mr. Edward",37,Southampton,Greaser,Engineering
49,"Cavell, Mr. George Henry",22,Southampton,Trimmer,Engineering
50,"Cherrett, Mr. William Victor",24,Southampton,Fireman/Stoker,Engineering
51,"Chisnall, Mr. George Alexander",35,Belfast,Boilermaker,Engineering
52,"Chorley, Mr. John",25,Southampton,Fireman/Stoker,Engineering
53,"Clark, Mr. William",39,Southampton,Fireman/Stoker,Engineering
54,"Coe, Mr. Harry",21,Southampton,Trimmer,Engineering
55,"Coleman, Mr. John",57,Belfast,Mess Steward,Engineering
56,"Collins,  Mr. Samuel",35,Southampton,Fireman/Stoker,Engineering
57,"Combes, Mr. George",21,Southampton,Fireman/Stoker,Engineering
58,"Cooper, Mr. Harry",26,Southampton,Fireman/Stoker,Engineering
59,"Cooper, Mr. James",25,Southampton,Trimmer,Engineering
60,"Copperthwaite, Mr. B.",22,Southampton,Trimmer,Engineering
61,"Corcoran,  Mr. Dennis",33,Southampton,Fireman/Stoker,Engineering
62,"Cotton, Mr. A.",26,Southampton,Trimmer,Engineering
63,"Couch, Mr. Joseph Henry",45,Southampton,Greaser,Engineering
64,"Couper, Mr. Robert",30,Southampton,Fireman/Stoker,Engineering
65,"Coy, Mr. Francis Ernest George",26,Southampton,Junior Assistant 3rd Engineer,Engineering
66,"Crabb, Mr. H.",23,Southampton,Trimmer,Engineering
67,"Creese, Mr. Henry Philip",44,Belfast,Deck Engineer,Engineering
68,"Crimmins, Mr. James",21,Southampton,Fireman/Stoker,Engineering
69,"Cross, Mr. W.",39,Southampton,Fireman/Stoker,Engineering
70,"Cunningham, Mr. B.",30,Southampton,Fireman/Stoker,Engineering
71,"Curtis, Mr. Arthur",25,Southampton,Fireman/Stoker,Engineering
72,"Davies, Mr. Thomas",33,Southampton,Leading Fireman,Engineering
73,"Dawson, Mr. Joseph",23,Southampton,Trimmer,Engineering
74,"Diaper, Mr. J.",25,Southampton,Fireman/Stoker,Engineering
75,"Dickson,  Mr. W.",36,Southampton,Trimmer,Engineering
76,"Dilley, Mr. John",30,Southampton,Fireman/Stoker,Engineering
77,"Dillon, Mr. Thomas Patrick",25,Southampton,Trimmer,Engineering
78,"Dodd, Mr. Edward Charles",38,Belfast,Junior 3rd Engineer,Engineering
79,"Dodds, Mr. Henry Watson",27,Southampton,Junior Assistant 4th Engineer,Engineering
80,"Doel, Mr. Frederick",22,Southampton,Fireman/Stoker,Engineering
81,"Dore, Mr. A.",22,Southampton,Trimmer,Engineering
82,"Doyle, Mr. Laurence",27,Southampton,Fireman/Stoker,Engineering
83,"Duffy, Mr. William Luke",28,Belfast,Writer/Engineer's Clerk,Engineering
84,"Dyer, Mr. Henry Ryland",24,Southampton,Senior Assistant 4th Engineer,Engineering
85,"Dymond, Mr. Frank",25,Southampton,Fireman/Stoker,Engineering
86,"Eagle, Mr. A.J.",?,Southampton,Trimmer,Engineering
87,"Eastman, Mr. Charles",?,Southampton,Greaser,Engineering
88,"Elliott, Mr. Everett E.",?,London,Trimmer,Engineering
89,"Ervine, Mr. Albert G.",18,Belfast,Assistant Electrician,Engineering
90,"Evans, Mr. Williams",32,Southampton,Trimmer,Engineering
91,"Farquharson, Mr. William E.",39,Southampton,Senior 2nd Engineer,Engineering
92,"Fay, Mr. Thomas",30,Southampton,Greaser,Engineering
93,"Ferray, Mr. Anton",?,Southampton,Trimmer,Engineering
94,"Ferris, Mr. William",38,Southampton,Leading Fireman,Engineering
95,"Fitzpatrick, Mr. Charles W.N.",30,Southampton,Mess Steward,Engineering
96,"Flarty, Mr. Edward",?,Southampton,Fireman/Stoker,Engineering
97,Ford. Mr. H.,?,Southampton,Trimmer,Engineering
98,"Ford, Mr. Thomas",30,Southampton,Leading Fireman,Engineering
99,"Foster, Mr. A.",37,Southampton,Engineering Storekeeper,Engineering
100,"Fraser, Mr. James",29,"Belfast, Ireland",Junior Assistant Third Engineer,Engineering
101,"Fraser, Mr. James",?,Southampton,Fireman/Stoker,Engineering
102,"Fredricks, W.",20,Southampton,Trimmer,Engineering
103,"Fryer, Mr. Albert E.",26,Southampton,Trimmer,Engineering
104,"Geer, Mr. Alfred E.",24,Southampton,Fireman/Stoker,Engineering
105,"Godley, Mr. George",?,Southampton,Fireman/Stoker,Engineering
106,"Godwin, Mr. Frederick W.",34,Southampton,Greaser,Engineering
107,"Golder, Mr. Martin W.",?,Southampton,Fireman/Stoker,Engineering
108,"Gordon, Mr. J.",29,Southampton,Trimmer,Engineering
109,"Goree, Mr. Frank",28,Southampton,Greaser,Engineering
110,"Gosling, Mr. Bertram J.",?,Southampton,Trimmer,Engineering
111,"Gosling, S.",?,Southampton,Trimmer,Engineering
112,"Graham, Mr. Thomas G.",?,Belfast,Fireman/Stoker,Engineering
113,"Gregory, Mr. David",?,Southampton,Greaser,Engineering
114,"Grodidge, Mr. Ernest E.",32,Southampton,Fireman/Stoker,Engineering
115,"Gumery, Mr. George",24,Southampton,Mess Steward,Engineering
116,"Hagan, Mr. John",30,Belfast,Fireman/Stoker,Engineering
117,"Hall, Mr. Joseph",32,Southampton,Fireman/Stoker,Engineering
118,"Hallett, Mr. George",?,Southampton,Fireman/Stoker,Engineering
119,"Hands, Mr. B.",?,Southampton,Fireman/Stoker,Engineering
120,"Hannam, Mr. George",?,Southampton,Fireman/Stoker,Engineering
121,"Harris, Mr. Edward",?,Southampton,Fireman/Stoker,Engineering
122,"Harris, Mr. Frederick",34,Southampton,Fireman/Stoker,Engineering
123,"Harrison, Mr. Norman",39,Belfast,Assistant Second Engineer,Engineering
124,"Harvey, Mr. Herbert G.",34,Southampton,Junior Assistant Second Engineer,Engineering
125,"Haslin, Mr. James",?,Southampton,Trimmer,Engineering
126,"Head, Mr. Arthur",?,Southampton,Fireman/Stoker,Engineering
127,"Hebb, Mr. A.",?,Southampton,Trimmer,Engineering
128,"Hendrickson, Mr. Charles G.",29,Southampton,Leading Fireman,Engineering
129,"Hesketh, Mr. James (aka John) H.",33,Belfast,Assistant Second Engineer,Engineering
130,"Hill, Mr. J.",?,Southampton,Trimmer,Engineering
131,"Hinton, Mr. William S.",?,Southampton,Trimmer,Engineering
132,"Hosking, Mr. George Fox",36,Southampton,Senior Third Engineer,Engineering
133,"Hunt, Mr. Albert",22,Southampton,Trimmer,Engineering
134,"Hunt, Mr. T.",28,Southampton,Fireman/Stoker,Engineering
135,"Hurst, Mr. Charles",?,Southampton,Fireman/Stoker,Engineering
136,"Hurst, Walter",27,Southampton,Fireman/Stoker,Engineering
137,"Ingram, Mr. Charles",?,Southampton,Trimmer,Engineering
138,"Instance, T.",?,Southampton,Fireman/Stoker,Engineering
139,"Jacobson, Mr. John",?,Southampton,Fireman/Stoker,Engineering
140,"Jago, Mr. J.",?,Southampton,Greaser,Engineering
141,"James, Mr. Thomas",?,Southampton,Fireman/Stoker,Engineering
142,"Jarvis, Mr. William",37,Southampton,Fireman/Stoker,Engineering
143,"Joas, Mr. N.",?,Southampton,Fireman/Stoker,Engineering
144,"Judd, Mr. Charles E.",32,Southampton,Fireman/Stoker,Engineering
145,"Jukes, Mr. James",35,Southampton,Greaser,Engineering
146,"Jupe, Mr. Herbert",31,Southampton,Assistant Electrician,Engineering
147,"Kaspar, Mr. Franz V.",40,Southampton,Fireman/Stoker,Engineering
148,"Kearle, Mr. Charles H.",?,Southampton,Greaser,Engineering
149,"Kearl, Mr. G.",24,Southampton,Trimmer,Engineering
150,"Keegan, Mr. James",38,Southampton,Leading Fireman,Engineering
151,"Kelly, Mr. James",?,Southampton,Greaser,Engineering
152,"Kelly, Mr. William",23,Belfast,Assistant Electrician,Engineering
153,"Kemish, Mr. George",?,Southampton,Fireman/Stoker,Engineering
154,"Kemp, Mr. Thomas H.",43,Southampton,Assistant Fourth Engineer,Engineering
155,"Kenchenten, Mr. Frederick",?,Southampton,Greaser,Engineering
156,"Kerr, Mr. Thomas",?,Southampton,Fireman/Stoker,Engineering
157,"Kinsella, Mr. Louis",30,Southampton,Fireman/Stoker,Engineering
158,"Kirkham, Mr. J.",?,Southampton,Greaser,Engineering
159,"Knowles, Mr. Thomas",39,Southampton,Firemen's Messman,Engineering
160,"Lahy, Mr. Thomas E.",?,Southampton,Fireman/Stoker,Engineering
161,Lee. Mr. H.,?,Southampton,Trimmer,Engineering
162,"Light, Mr. Charles",?,Southampton,Fireman/Stoker,Engineering
163,"Light, Mr. W.",?,Southampton,Fireman/Stoker,Engineering
164,"Lindsay, Mr. William C.",?,Southampton,Fireman/Stoker,Engineering
165,"Loyd, Mr. W.",29,Southampton,Fireman/Stoker,Engineering
166,"Long, Mr. Frank",28,Southampton,Trimmer,Engineering
167,"Long, Mr. W.",?,Southampton,Trimmer,Engineering
168,"Mackie, Mr. William D.",32,Belfast,Junior Fifth Engineer,Engineering
169,"Major, Mr. William",?,Southampton,Fireman/Stoker,Engineering
170,"Marrett, Mr. G.",?,Southampton,Fireman/Stoker,Engineering
171,"Marsh, Mr. Frederick C.",28,Southampton,Fireman/Stoker,Engineering
172,"Maskell, Mr. L.A.",?,Southampton,Trimmer,Engineering
173,"Mason, Mr. Frank A.R.",32,Southampton,Fireman/Stoker,Engineering
174,"Mason, Mr. James",39,Southampton,Leading Fireman,Engineering
175,"May Jr., Mr. Arthur",23,Southampton,Fireman/Stoker,Engineering
176,"May Sr., Mr. Arthur W.",60,Southampton,Fireman's Messman,Engineering
177,"Mayo, Mr. William P.",27,Southampton,Leading Fireman,Engineering
178,"Mayzes, Mr. Thomas",25,Southampton,Fireman/Stoker,Engineering
179,"McAndrew, Mr. Thomas",?,Southampton,Fireman/Stoker,Engineering
180,"McAndrews, Mr. William",?,Southampton,Fireman/Stoker,Engineering
181,"McCastlen, Mr. William",?,Southampton,Fireman/Stoker,Engineering
182,"McCubbin, Mr. Lee {?}",?,Southampton,Fireman/Stoker,Engineering
183,"McGann, Mr. James",?,Southampton,Trimmer,Engineering
184,"McGarvey, Mr. Edward",?,Southampton,Fireman/Stoker,Engineering
185,"McGaw, Mr. Errol",?,Southampton,Fireman/Stoker,Engineering
186,"McGregor, Mr. J.",?,Southampton,Fireman/Stoker,Engineering
187,"McInerney, Mr. Thomas",?,Southampton,Greaser,Engineering
188,"McInytre, Mr. William",22,Southampton,Trimmer,Engineering
189,"McQuillan, Mr. William",32,Belfast,Fireman/Stoker,Engineering
190,"McRae, Mr. William A.",?,Southampton,Fireman/Stoker,Engineering
191,"McReynolds, Mr. William",22,Belfast,Junior Sixth Engineer,Engineering
192,"Middleton, Mr. Alfred P.",17,Belfast,Assistant Electrician,Engineering
193,"Milford, Mr. George",?,Southampton,Fireman/Stoker,Engineering
194,"Millar, Mr. Robert",27,Southampton,Extra Fifth Engineer,Engineering
195,"Millar, Mr. Thomas",33,Belfast,Assistant Deck Engineer,Engineering
196,"Mintram, Mr. William",46,Southampton,Fireman/Stoker,Engineering
197,"Mitchell, Mr. Lawrence",?,Southampton,Trimmer,Engineering
198,"Moore, Mr. John J.",?,Southampton,Fireman/Stoker,Engineering
199,"Moore, Mr. R.",?,Southampton,Trimmer,Engineering
200,"Moores, Mr. Robert H.",?,Southampton,Greaser,Engineering
201,"Morgan, Mr. Arthur H.",?,Southampton,Trimmer,Engineering
202,"Morgan, Mr. Thomas A.",26,Southampton,Fireman/Stoker,Engineering
203,"Morrell, Mr. R.",?,Southampton,Trimmer,Engineering
204,"Morris, Mr. A.",?,Southampton,Greaser,Engineering
205,"Morris, Mr. W.",?,Southampton,Trimmer,Engineering
206,"Moyes, Mr. William Y.",23,Belfast,Senior Sixth Engineer,Engineering
207,"Murdock, Mr. William",34,Belfast,Fireman/Stoker,Engineering
208,"Nettleton, Mr. George",?,Southampton,Fireman/Stoker,Engineering
209,"Newman, Mr. Charles T.",32,Southampton,Engineering Storekeeper,Engineering
210,"Noon, Mr. John",?,Southampton,Fireman/Stoker,Engineering
211,"Norris, Mr. James",?,Southampton,Fireman/Stoker,Engineering
212,"Noss, Mr. Bertram A.",21,Southampton,Fireman/Stoker,Engineering
213,"Noss, Mr. Henry",31,Southampton,Fireman/Stoker,Engineering
214,"Nutbean, Mr. William",31,Southampton,Fireman/Stoker,Engineering
215,"O'Connor, Mr. John",25,Southampton,Trimmer,Engineering
216,"Olive, Mr. Charles",?,Southampton,Greaser,Engineering
217,"Oliver, Mr. H.",?,Southampton,Fireman/Stoker,Engineering
218,"Othen, Mr. Charles",?,Southampton,Fireman/Stoker,Engineering
219,"Paice, Mr. Richard C.",?,Southampton,Fireman/Stoker,Engineering
220,"Painter, Mr. Charles",31,Southampton,Fireman/Stoker,Engineering
221,"Painter, Mr. Frank",29,Southampton,Fireman/Stoker,Engineering
222,"Pallas, Mr. T.",?,Southampton,Greaser,Engineering
223,"Parsons, Mr. Frank A.",27,Belfast,Senior Fifth Engineer,Engineering
224,"Pearce, Mr. John",?,Southampton,Fireman/Stoker,Engineering
225,"Pelham, Mr. George",39,Southampton,Trimmer,Engineering
226,"Perry, Mr. Edgar L.",19,Southampton,Trimmer,Engineering
227,"Perry, Mr. Henry",?,Southampton,Trimmer,Engineering
228,"Phillips, Mr. G.",?,Southampton,Greaser,Engineering
229,"Pitfield, Mr. William J.",?,Southampton,Greaser,Engineering
230,"Podesta, Mr. John",25,Southampton,Fireman/Stoker,Engineering
231,"Pond, Mr. George",32,Southampton,Fireman/Stoker,Engineering
232,"Prangnell, Mr. George",31,Southampton,Greaser,Engineering
233,"Preston, Mr. Thomas C.",20,Southampton,Trimmer,Engineering
234,"Priest, Mr. Arthur J.",23,Southampton,Fireman/Stoker,Engineering
235,"Proudfoot, Mr. R.",?,Southampton,Trimmer,Engineering
236,"Pugh, Mr. Percy",31,Southampton,Leading Fireman,Engineering
237,"Pusey, Mr. Robert W.",24,Southampton,Fireman/Stoker,Engineering
238,"Ranger, Mr. Thomas G.",?,Southampton,Greaser,Engineering
239,"Reed, Mr. Robert",?,Southampton,Trimmer,Engineering
240,"Reeves, Mr. Robert",30,Southampton,Fireman/Stoker,Engineering
241,"Rice, Mr. Charles",32,Southampton,Fireman/Stoker,Engineering
242,"Richards, Mr. Joseph J.",?,Southampton,Fireman/Stoker,Engineering
243,"Rickman, Mr. G.",?,Southampton,Fireman/Stoker,Engineering
244,"Roberts, Mr. George",?,Southampton,Fireman/Stoker,Engineering
245,"Rous, Mr. Arthur J.",26,Southampton,Plumber,Engineering
246,"Rudd, Mr. Henry",23,Southampton,Engineering Storkeeper,Engineering
247,"Rutter, Mr. Sidney",?,Southampton,Fireman/Stoker,Engineering
248,"Sangster, Mr. Charles",?,Southampton,Fireman/Stoker,Engineering
249,"Saunders, Mr. Thomas",?,Southampton,Fireman/Stoker,Engineering
250,"Saunders, Mr. W.",30,Southampton,Fireman/Stoker,Engineering
251,"Saunders, Mr. W.",?,Southampton,Trimmer,Engineering
252,"Scott, Mr. Archibald",40,Southampton,Fireman/Stoker,Engineering
253,"Scott, Mr. Frederick",?,Southampton,Greaser,Engineering
254,"Self, Mr. Alfred H.",?,Southampton,Greaser,Engineering
255,"Self, Mr. Edward",25,Southampton,Fireman/Stoker,Engineering
256,"Senior, Mr. Henry",31,Southampton,Fireman/Stoker,Engineering
257,"Shea, Mr. Thomas",29,Southampton,Fireman/Stoker,Engineering
258,"Sheath, Mr. Frederick",20,Southampton,Trimmer,Engineering
259,"Shepherd, Mr. Johnathan",32,Southampton,Junior Assistant Second Engineer,Engineering
260,"Shiers, Mr. Alfred",24,Southampton,Fireman/Stoker,Engineering
261,"Shillaber, Mr. Charles",20,Southampton,Trimmer,Engineering
262,"Skeats, Mr. W.",?,Southampton,Trimmer,Engineering
263,"Sloan, Mr. Peter",31,Belfast,Chief Electrician,Engineering
264,"Small, Mr. William",40,Southampton,Leading Fireman,Engineering
265,"Smith, Mr. Ernest G.",?,Southampton,Trimmer,Engineering
266,"Smith, Mr. James M.",35,Southampton,Junior Fourth Engineer,Engineering
267,"Smither, Mr. Harry J.",?,Southampton,Fireman/Stoker,Engineering
268,"Snellgrove, Mr. G",?,Southampton,Fireman/Stoker,Engineering
269,"Snooks, Mr. W",?,Southampton,Trimmer,Engineering
270,"Snowberger, Mr. Eustace P.",21,Southampton,Trimmer,Engineering
271,"Sparkman, Mr. Henry",?,Southampton,Fireman/Stoker,Engineering
272,"Stafford, Mr. M.",?,Southampton,Greaser,Engineering
273,"Stanbrook, Mr. Augustus",30,Southampton,Fireman/Stoker,Engineering
274,"Steel, Mr. Robert E.",?,Southampton,Trimmer,Engineering
275,"Stocker, Mr. Henry",?,Southampton,Trimmer,Engineering
276,"Street, Mr. Henry A.",25,Southampton,Fireman/Stoker,Engineering
277,"Stubbs, Mr. James H.",?,Southampton,Fireman/Stoker,Engineering
278,Sullivan Mr. S.,?,Southampton,Fireman/Stoker,Engineering
279,"Taylor, Mr. James",25,Southampton,Fireman/Stoker,Engineering
280,"Taylor, Mr. John",?,Southampton,Fireman/Stoker,Engineering
281,"Taylor, Mr. T.",?,Southampton,Fireman/Stoker,Engineering
282,"Taylor, Mr. William H.",28,Southampton,Fireman/Stoker,Engineering
283,"Thomas, Mr. James",?,Southampton,Fireman/Stoker,Engineering
284,"Thompson, Mr. John W.",42,Southampton,Fireman/Stoker,Engineering
285,"Threlfall, Mr. Thomas",38,Southampton,Leading Fireman,Engineering
286,"Thresher, Mr. George",25,Southampton,Fireman/Stoker,Engineering
287,"Tizard, Mr. Arthur",?,Southampton,Fireman/Stoker,Engineering
288,"Tozer, Mr. James",?,Southampton,Greaser,Engineering
289,"Triggs, Mr. Robert",?,Southampton,Fireman/Stoker,Engineering
290,"Turley, Mr. Richard",?,Southampton,Fireman/Stoker,Engineering
291,"van der brugge, Mr. Wessel A.",42,Southampton,Fireman/Stoker,Engineering
292,"Veal, Mr. Arthur",?,Southampton,Greaser,Engineering
293,"Vear, Mr. Henry",32,Southampton,Fireman/Stoker,Engineering
294,"Vear, Mr. W.",32,Southampton,Fireman/Stoker,Engineering
295,"Ward, Mr. Arthur",24,Belfast,Junior Assistant Fourth Engineer,Engineering
296,"Ward, Mr. Joseph",31,Southampton,Leading Fireman,Engineering
297,"Wardner, Mr. Frederick Albert",39,Southampton,Fireman/Stoker,Engineering
298,"Wateridge, Mr. Edward L.",?,Southampton,Fireman/Stoker,Engineering
299,"Watson, Mr. W.",?,Southampton,Fireman/Stoker,Engineering
300,"Webb, Mr. S",?,Southampton,Trimmer,Engineering
301,"Webber, Mr. Francis A.",31,Southampton,Leading Fireman,Engineering
302,"White, Mr. Alfred",?,Southampton,Greaser,Engineering
303,"White, Mr. Frank L.",?,Southampton,Trimmer,Engineering
304,"White, Mr. William G.",23,Southampton,Trimmer,Engineering
305,"Williams, Mr. Samuel S.",26,Southampton,Fireman/Stoker,Engineering
306,"Wilson, Mr. Bertie",28,Southampton,Senior Assistant Second Engineer,Engineering
307,"Wilton, Mr. William",45,Southampton,Trimmer,Engineering
308,"Witcher, Mr. Alfred",40,Southampton,Fireman/Stoker,Engineering
309,"Witt, Mr. F.",?,Southampton,Trimmer,Engineering
310,"Witt, Mr. Henry D.",40,Southampton,Fireman/Stoker,Engineering
311,"Woodford, Mr. Frederick",41,Southampton,Greaser,Engineering
312,"Woods, Mr. H.",?,Southampton,Trimmer,Engineering
313,"Wyeth, Mr. James",?,Southampton,Fireman/Stoker,Engineering
314,"Young, Mr. Francis J.",30,Southampton,Fireman/Stoker,Engineering
0,"Abbott, Mr. Ernest Owen",21,Southampton,First Class Lounge Pantry Steward,Victualling
1,"Ahier, Mr. Percy Snowden",20,Southampton,First Class Saloon Steward,Victualling
